name,likes,downloads,last_updated,decision_score
Sid51/CB,0,22,2021-06-12 17:36:59+00:00,-0.32351770997131624
Zixtrauce/JohnBot,0,22,2022-01-02 06:43:38+00:00,-5.6782096664837765
QianWeiTech/GPT2-News,0,24,2021-05-21 11:02:49+00:00,-0.3988531269553377
TheCatsMoo/DialoGGPT-small-joshua,0,23,2021-09-18 11:09:22+00:00,-1.8294078766063935
PurpleJacketGuy/My_Jarvis_2,0,25,2021-11-11 15:50:51+00:00,-7.891324916324337
huggingartists/nirvana,0,28,2022-02-21 01:51:05+00:00,-0.03618370828701689
Username1/Mourinhio-medium,0,24,2021-09-10 20:52:27+00:00,-8.345804791936615
houssaineamzil/DialoGPT-small-joey,0,20,2021-09-09 23:54:51+00:00,-0.2006101296603635
huggingtweets/amelamelcia,0,22,2021-11-26 18:07:27+00:00,-0.3306015301660299
huggingtweets/bladeecity-rxmaybike-wojespn,0,21,2021-06-29 20:32:08+00:00,-0.5365013309089708
YusufSahin99/IFIS_ZORK_AI_FANTASY,0,24,2021-07-14 13:18:10+00:00,-0.4264716233989754
YYJ/KunquChat,0,26,2021-12-23 07:21:17+00:00,-9.826590718919917
Oji/DialoGPT-small-Rick,0,25,2022-02-04 11:41:53+00:00,-0.15622525271025012
huggingartists/epic-rap-battles-of-history,0,27,2021-08-31 07:38:06+00:00,-1.9584764287167795
adresgezgini/Turkish-GPT-2-Finetuned_digital_ads,0,21,2021-05-21 11:52:06+00:00,-7.908486183975674
calebcsjm/distilgpt2-finetuned-wikitexts,0,22,2022-02-18 16:01:53+00:00,-1.9626534057980987
henryoce/DialoGPT-small-rick-and-morty,0,23,2021-08-25 04:37:09+00:00,-8.075645739867293
danny911kr/calm-mix-large,0,16,2021-09-16 07:23:19+00:00,-7.82803972485534
benmrtnz27/DialoGPT-small-misato,0,23,2021-11-28 07:45:51+00:00,-0.016072511612497564
huggingtweets/alisonaharris,0,23,2021-05-21 18:20:29+00:00,-0.10277888422193904
danny481/DialoGPT-small-harrypotter,0,22,2021-12-27 23:56:37+00:00,-0.2461192982737348
huggingtweets/_nisagiss-dril-prezoh,0,24,2021-08-25 22:47:09+00:00,-1.9672542933497326
benajtil/DialoGPT-small-RickAndMortyScripts,0,22,2022-01-28 12:46:48+00:00,-8.43813344537475
huggingtweets/beemoviescript,0,22,2021-08-26 01:52:42+00:00,-0.07253701158191461
ceostroff/harry-potter-gpt2-fanfiction,0,26,2021-05-21 14:51:47+00:00,-5.802810345529855
huggingtweets/_djpn,0,22,2021-05-21 16:59:38+00:00,-1.7866952552160376
huggingtweets/ben_r_hoffman,0,22,2021-05-21 20:18:55+00:00,-0.7292805444256896
huggingartists/lil-uzi-vert,0,23,2022-04-17 18:50:56+00:00,-1.9476243075582351
huggingtweets/bcdreyer,0,22,2021-05-21 20:13:06+00:00,-0.0034486273286304936
ha-mulan/moby-dick,0,25,2021-05-21 16:19:33+00:00,-0.07040464422451187
anweasha/DialoGPT-small-Jake,0,22,2022-02-12 16:10:13+00:00,-7.825967725513552
Verge/Peterbot,0,24,2022-03-02 04:28:19+00:00,-0.5171765103765491
hrv/DialoGPT-small-rick-morty,0,22,2021-08-27 06:55:43+00:00,-8.197943284752899
danny481/DialoGPT-small-datnguyenchatbot,0,22,2021-12-29 11:41:26+00:00,-4.069954217358107
huggingtweets/amberblaziken,0,22,2021-05-21 18:34:17+00:00,-0.038436301942376794
huggingtweets/adderallblack,0,22,2021-05-21 17:36:11+00:00,-7.80959320106438
crystalgate/DialoGPT-small-rick,0,22,2022-01-05 17:17:39+00:00,-0.09866189443424656
huggingtweets/_srhiggins,0,22,2021-05-21 17:12:59+00:00,-0.6689811556557714
StevenShoemakerNLP/pitchfork,0,24,2021-05-21 11:15:10+00:00,-0.3645411347067169
huggingartists/oxxxymiron,0,23,2022-07-06 16:17:56+00:00,-8.108428169595186
P4RZ1V4L/DialoGPT-Medium-Tony,0,26,2022-03-06 12:00:15+00:00,-8.83953141138869
huggingtweets/ai_hexcrawl-gods_txt,0,22,2021-06-15 16:52:45+00:00,-1.9622185227547213
huggingartists/bladee,0,30,2021-10-08 14:48:18+00:00,-0.15157221749265126
Tr1ex/DialoGPT-small-rick,0,23,2022-01-08 11:38:39+00:00,-8.437023134244685
cwh/gpt2-medium-finetuned-wikitext2,0,24,2021-10-28 11:39:40+00:00,-0.26511784353874646
huggingtweets/bobuk,0,22,2021-10-01 13:49:40+00:00,-7.820888723575052
ethzhou/newJooby,0,22,2021-09-17 07:09:09+00:00,-5.2492944936929
huggingartists/shadowraze,0,24,2021-10-15 02:02:54+00:00,-7.8039470982435235
huggingtweets/alicesblossoms,0,22,2021-05-21 18:19:16+00:00,-8.364151016777424
TheBakerCat/2chan_ruGPT3_small,0,26,2021-05-21 11:26:24+00:00,-1.831989485372107
huggingtweets/4pfviolet,0,22,2021-05-21 16:40:36+00:00,-9.599831391376085
