name,likes,downloads,last_updated,decision_score
Vampiro/DialoGPT-small-dante_b,0,21,2021-09-16 04:25:49+00:00,-0.02262916742863519
huggingartists/john-lennon,0,21,2021-09-10 10:37:44+00:00,-0.03469709717865399
chan030609/DialoGPT-small-JAB,0,20,2022-02-10 03:27:21+00:00,-0.06790596765513135
bigjoedata/rockbot-scratch,0,20,2021-05-21 14:15:08+00:00,-0.02810132980548563
erikinfo/gpt2TEDlectures,0,21,2021-05-21 16:00:10+00:00,-0.02719434594847503
ehdwns1516/gpt3-kor-based_gpt2_review_SR3,0,20,2021-07-23 01:18:13+00:00,-0.04202535131557383
ayameRushia/gpt2-medium-fine-tuning-indonesia-poem,0,21,2021-08-03 13:14:10+00:00,-0.019165209754294033
pixelsandpointers/bart-base-empatheticdialogues,0,3,2022-01-24 11:29:02+00:00,-0.08447170430821305
huggingtweets/amirism_,0,20,2021-05-21 18:41:30+00:00,-0.019865069900151466
huggingtweets/alex73630,0,19,2021-05-21 18:05:51+00:00,-0.02681474126587957
huggingartists/face,0,21,2021-09-15 11:08:11+00:00,-0.030186270125547754
Navya2608/DialoGPT-medium-chandler,0,23,2021-11-05 14:37:10+00:00,-0.01460425132222154
huggingtweets/benedictevans,0,29,2021-05-21 20:20:50+00:00,-0.01038414341894478
S34NtheGuy/DialoGPT-medium-Glass_Of_Water,0,21,2021-10-14 12:28:04+00:00,-0.08093430909223887
huggingartists/21-savage,0,26,2021-09-11 16:36:16+00:00,-0.06285690463820959
huggingartists/morgenshtern,0,24,2022-08-06 23:27:49+00:00,-0.014638591949573398
codealtgeek/DiabloGPT-medium-rickmorty,0,20,2021-11-16 23:24:24+00:00,-0.013151603844644644
Pyjay/gpt2-medium-dutch-finetuned-text-generation,0,26,2021-07-23 09:44:31+00:00,-0.00534060242518497
flooptherocket/DialogGPT-small-rick,0,18,2021-09-10 01:17:41+00:00,-0.008864204539948961
anduush/DialoGPT-small-Rick,0,20,2021-08-27 07:25:40+00:00,-0.0684490541213233
huggingartists/alan-walker,0,31,2021-09-19 17:05:07+00:00,-0.06473827895101181
hama/me0.01,0,20,2021-11-06 19:48:16+00:00,-0.015575712731027758
huggingtweets/agholdier,0,20,2021-05-26 20:22:22+00:00,-0.03475671802429492
VulcanBin/DialoGPT-small-cortana,0,22,2021-09-30 16:48:41+00:00,-0.009906766968898473
huggingartists/rammstein,0,24,2022-06-06 11:14:46+00:00,-0.02390740360763588
clayfox/DialoGPT-medium-Hiccup,0,20,2021-11-28 23:20:59+00:00,-0.0036669409753297133
huggingtweets/barzoople,0,21,2021-05-21 20:07:03+00:00,-0.00914779103964114
huggingtweets/alibabagroup,0,21,2021-05-21 18:16:34+00:00,-0.0702720750845175
huggingtweets/_cyberemperor,0,20,2021-05-21 16:57:15+00:00,-0.024035453115650474
ThePeachOx/DialoGPT-small-harry,0,21,2022-02-12 00:35:05+00:00,-0.01782354399367525
cd-dvd/testmodel2,0,4,2022-01-27 19:45:14+00:00,-0.030471326833928725
Poly-Pixel/shrek-medium,0,23,2021-08-30 21:16:39+00:00,-0.006937953572966338
huggingtweets/alterhuss-zainabverse,0,20,2021-12-14 07:46:28+00:00,-0.03530861120023587
huggingartists/travis-scott,0,24,2021-09-10 19:40:02+00:00,-0.0028431548438715426
DebateLabKIT/cript-large,0,24,2021-05-21 15:31:48+00:00,-0.03968899800722858
beomus/lotr-gpt,0,35,2023-06-19 01:57:06+00:00,-0.02845830656744619
ehdwns1516/gpt2_review_star4,0,20,2021-07-23 01:07:26+00:00,-0.08113604967207622
danny911kr/calm-base,0,13,2021-09-16 07:16:16+00:00,-0.01981812695815588
Shakaw/DialoGPT-small-spongebot,0,21,2022-02-24 13:34:09+00:00,-0.0065714580334648165
huggingartists/van-morrison,0,23,2021-09-10 08:49:51+00:00,-0.0021928050743817984
RuRI/Talkmodel01,0,23,2021-09-17 00:34:28+00:00,-0.04753712404654298
huggingartists/platina,0,21,2021-09-29 17:06:31+00:00,-0.014433458865076298
huggingtweets/bladeecity-thaiboygoon,0,20,2021-06-30 07:56:47+00:00,-0.06799929285676032
abhinema/distillgpt2,0,47,2022-02-27 04:08:32+00:00,-0.005758041768638145
huggingartists/vladimir-vysotsky,0,22,2021-09-10 07:47:12+00:00,-0.041375651138027436
huggingtweets/Question,0,21,2021-05-21 16:44:50+00:00,-0.021909451196585383
huggingtweets/aimbotaimy,0,22,2021-07-25 03:52:26+00:00,-0.02058269345105035
huggingartists/andre-3000,0,24,2022-02-04 22:00:23+00:00,-0.007035013073235508
huggingtweets/balcobops-liyrex_irl-waitforgot,0,20,2021-09-29 04:04:44+00:00,-0.016953918280512625
huggingtweets/4by3animetits,0,21,2021-09-14 06:15:43+00:00,-0.007616909408551753
huggingartists/denderty,0,22,2021-08-10 07:50:29+00:00,-0.028872178528557058
hireddivas/DialoGPT-small-ray,0,20,2021-11-03 05:56:23+00:00,-0.04818426748867033
Poly-Pixel/shrek-test-small,0,40,2023-03-24 20:09:13+00:00,-0.07848918939123484
huggingtweets/americanpineapp,0,20,2021-05-21 18:38:39+00:00,-0.06251987693890004
SaffronIce/DialoGPT-medium-Jett,0,21,2021-08-26 22:49:06+00:00,-0.02135709684259346
huggingartists/madonna,0,21,2022-06-16 21:35:29+00:00,-0.014371562019598771
huggingartists/grimes,0,23,2021-09-18 22:52:02+00:00,-0.08096850895326235
huggingtweets/3thanguy7,0,20,2021-05-21 16:35:20+00:00,-0.03450336783583918
andikarachman/DialoGPT-small-sheldon,0,20,2021-12-11 14:51:37+00:00,-0.019054220378151854
SilentMyuth/stablejen,0,21,2021-08-27 22:30:06+00:00,-0.03677296655532769
felinecity/DioloGPT-small-LisaBot,0,19,2022-01-12 08:10:08+00:00,-0.020506466442996696
huggingtweets/60secondrevit,0,24,2021-09-23 22:17:30+00:00,-0.02085451377296399
honguyenminh/old-zhongli,0,19,2021-09-11 15:14:30+00:00,-0.07741544312941395
TrebleJeff/DialoGPT-small-Michael,0,22,2022-02-15 13:20:06+00:00,-0.035611695011490085
Sid51/CB,0,21,2021-06-12 17:36:59+00:00,-0.02375895474722567
Zixtrauce/JohnBot,0,19,2022-01-02 06:43:38+00:00,-0.09160462903204503
TheCatsMoo/DialoGGPT-small-joshua,0,21,2021-09-18 11:09:22+00:00,-0.025894441856405215
PurpleJacketGuy/My_Jarvis_2,0,23,2021-11-11 15:50:51+00:00,-0.0632916821407633
huggingartists/nirvana,0,27,2022-02-21 01:51:05+00:00,-0.006438928125648835
Username1/Mourinhio-medium,0,21,2021-09-10 20:52:27+00:00,-0.06832986463861268
gizmo-dev/DialoGPT-small-jake,0,19,2021-08-28 10:16:41+00:00,-0.00627706170628306
avinashshrangee/DialoGPT-small-Ricky,0,20,2022-02-17 09:14:03+00:00,-0.014368891726668775
houssaineamzil/DialoGPT-small-joey,0,18,2021-09-09 23:54:51+00:00,-0.00802198415048827
bagdaebhishek/IndianPoliticalTweetsLM,0,21,2021-09-22 07:49:02+00:00,-0.012745792086339303
huggingtweets/bladeecity-rxmaybike-wojespn,0,19,2021-06-29 20:32:08+00:00,-0.002309284878208584
huggingtweets/2wyatt2mason,0,20,2021-10-31 23:45:40+00:00,-0.017786891726593534
ainize/gpt2-simpsons-script-large,0,22,2021-05-21 12:13:28+00:00,-0.004608606956073125
YusufSahin99/IFIS_ZORK_AI_FANTASY,0,21,2021-07-14 13:18:10+00:00,-0.014604380422635121
YYJ/KunquChat,0,23,2021-12-23 07:21:17+00:00,-0.09430755116468093
NickCavarretta/DialoGPT-small-laffy,0,21,2021-06-03 03:10:42+00:00,-0.016829379554364476
