fold,accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc,total_samples
1,0.9716666666666667,0.9463722397476341,1.0,0.9724473257698542,300,283,17,0,0.9958777777777778,600
2,0.985,0.970873786407767,1.0,0.9852216748768473,300,291,9,0,0.9992555555555556,600
3,0.9766666666666667,0.9554140127388535,1.0,0.9771986970684039,300,286,14,0,0.9979777777777777,600
4,0.98,0.9615384615384616,1.0,0.9803921568627451,300,288,12,0,0.993,600
5,0.9766666666666667,0.9554140127388535,1.0,0.9771986970684039,300,286,14,0,0.9929888888888889,600
