fold,accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc,total_samples
1,0.9133333333333333,0.9161073825503355,0.91,0.9130434782608695,273,275,25,27,0.9799444444444445,600
2,0.8816666666666667,0.8778877887788779,0.8866666666666667,0.8822553897180763,266,263,37,34,0.9432,600
3,0.9233333333333333,0.9096774193548387,0.94,0.9245901639344262,282,272,28,18,0.9801111111111112,600
4,0.8866666666666667,0.8972602739726028,0.8733333333333333,0.8851351351351352,262,270,30,38,0.9567444444444445,600
5,0.925,0.9411764705882353,0.9066666666666666,0.9235993208828523,272,283,17,28,0.9778555555555555,600
