name,likes,downloads,last_updated,decision_score
reaperdoesntknow/test,0,6,2025-08-06 00:03:52+00:00,-0.017734859535041614
funnythingy123a/imessedup123,0,7,2024-03-04 00:32:37+00:00,-0.030481200468521874
bricksbricks919/threemodelz,0,8,2024-03-04 22:56:29+00:00,-0.0028021964309012937
MustEr/best_model_for_identifying_frogs,0,11,2024-03-04 11:50:22+00:00,-0.0016837879225907182
vkuzometa/fp8-opt-125m,0,11,2025-07-02 16:17:20+00:00,-0.04684330576180962
wn3/gpt2,0,17,2024-11-15 07:40:37+00:00,-0.04381184918647907
