name,likes,downloads,last_modified,decision_score
SEBIS/legal_t5_small_trans_de_sv,0,14,2021-06-23 09:32:41+00:00,-0.0789946429725549
SIC98/GPT2-first-model,0,23,2021-05-21 11:11:24+00:00,-0.1209388116462932
SJSui/AstroBot,0,23,2021-11-17 00:39:09+00:00,-0.0970325668298007
SaffronIce/DialoGPT-medium-Jett,0,21,2021-08-26 22:49:06+00:00,-0.0058240741312151
Salma-2/DialoGPT-small-harrypotter,0,21,2021-09-25 20:46:39+00:00,-0.0780887893480671
Sammigooof/Peterbot,0,21,2022-03-01 23:28:30+00:00,-0.0335285319479882
Science-geek32/DialoGPT-small-doctor,0,22,2021-10-19 17:51:25+00:00,-0.0016383083853733
ScottaStrong/DialogGPT-medium-Scott,0,23,2021-06-17 03:59:06+00:00,-0.0796148866087564
ScottaStrong/DialogGPT-medium-joshua,0,21,2021-06-17 00:25:33+00:00,-0.0008900467294311
ScottaStrong/DialogGPT-small-joshua,0,21,2021-06-16 21:40:45+00:00,-0.0600199327584654
Sebastianthecrab/DialoGPT-small-melchior,0,19,2022-01-29 23:53:08+00:00,-0.0431093400047444
Sedge/DialoGPT-small-Sedge,0,21,2021-09-04 14:50:57+00:00,-0.0016383083853733
Shike/DialoGPT_medium_harrypotter,0,21,2021-08-27 14:58:37+00:00,-0.0325205034859452
Shinx/DialoGPT-medium-myheroacademia,0,24,2022-01-05 18:46:08+00:00,-0.0032172046786275
ShiroNeko/DialoGPT-small-rick,0,21,2021-09-20 08:46:13+00:00,-0.0894866831556741
Shubham-Kumar-DTU/DialoGPT-small-goku,0,23,2021-09-01 21:40:10+00:00,-0.0087150248663819
Sid51/CB,0,21,2021-06-12 17:36:59+00:00,-0.0983516529977184
Sid51/Chan,0,21,2021-06-10 20:30:33+00:00,-0.0962735021308784
SilentMyuth/stableben,0,22,2021-07-21 21:05:17+00:00,-0.0021270607792494
SilentMyuth/stablejen,0,21,2021-08-27 22:30:06+00:00,-0.0586959079859916
SimonThormeyer/movie-plot-generator,0,22,2021-07-25 10:26:02+00:00,-0.0307018096627333
Simovod/simRU,0,22,2021-08-06 13:45:07+00:00,-0.1396651835709881
Simovod/testSIM,0,22,2021-08-03 09:56:11+00:00,-0.0950575917572392
Snaky/StupidEdwin,0,22,2021-11-14 15:12:52+00:00,-0.0618209234949088
SonMooSans/test,0,20,2021-12-19 14:29:50+00:00,-0.0071353937941979
Spectrox/emmybot,0,21,2021-12-29 02:21:53+00:00,-0.0764804036738913
SteveC/sdc_bot_15K,0,21,2022-02-21 02:04:26+00:00,-0.0764804036738913
SteveC/sdc_bot_two_step,0,21,2022-02-22 03:22:05+00:00,-0.06970735971289
Sunnydx/BillCipherBot,0,21,2021-09-10 13:54:08+00:00,-0.0191446271101375
SuperDoge/DialoGPT-small-harrypotter,0,28,2021-09-01 03:29:38+00:00,-0.0060487297455835
TTYU/DialoGPT-small-trump,0,21,2021-09-22 21:22:16+00:00,-0.0217768973307259
TVLG/DialoGPT-small-Iroh-Bot,0,22,2021-08-31 19:01:17+00:00,-0.0835654926614937
ThatSkyFox/DialoGPT-small-joshua,0,22,2021-10-24 17:12:13+00:00,-0.0530379299901753
