name,likes,downloads,last_updated,decision_score
adresgezgini/Turkish-GPT-2-Finetuned_digital_ads,0,9,2021-05-21 11:52:06+00:00,-0.40303947798553574
henryoce/DialoGPT-small-rick-and-morty,0,9,2021-08-25 04:37:09+00:00,-0.34698447778816055
danny911kr/calm-mix-large,0,16,2021-09-16 07:23:19+00:00,-0.4635180616913801
benajtil/DialoGPT-small-RickAndMortyScripts,0,8,2022-01-28 12:46:48+00:00,-0.42125874724467005
huggingtweets/bestmusiclyric-marknorm,0,9,2021-05-21 20:30:59+00:00,-0.34672426259373035
ceostroff/harry-potter-gpt2-fanfiction,0,12,2021-05-21 14:51:47+00:00,-0.3469844777299529
huggingtweets/_djpn,0,9,2021-05-21 16:59:38+00:00,-0.34672426259373035
balawmt/LanguageModel_Trial_1,0,9,2021-05-21 14:03:49+00:00,-0.34672426259373035
huggingartists/lil-uzi-vert,0,10,2022-04-17 18:50:56+00:00,-1.1659817663183873
anweasha/DialoGPT-small-Jake,0,8,2022-02-12 16:10:13+00:00,-0.40510195664125215
huggingtweets/bestmusiclyric-poetsorg,0,9,2021-05-29 15:46:48+00:00,-0.34672426259373035
huggingtweets/andrewcuomo,0,9,2021-05-21 18:58:21+00:00,-0.34672426259373035
hrv/DialoGPT-small-rick-morty,0,9,2021-08-27 06:55:43+00:00,-0.3451407264818642
danny481/DialoGPT-small-datnguyenchatbot,0,8,2021-12-29 11:41:26+00:00,-0.3466673043020507
huggingtweets/adderallblack,0,9,2021-05-21 17:36:11+00:00,-0.34512489463838003
huggingartists/oxxxymiron,0,10,2022-07-06 16:17:56+00:00,-0.40316314557445887
P4RZ1V4L/DialoGPT-Medium-Tony,0,12,2022-03-06 12:00:15+00:00,-0.3462943908833638
huggingtweets/_colebennett_,0,9,2021-08-02 19:31:13+00:00,-0.34672426259373035
chaitrabhat/DialoGPT-small-rick,0,8,2021-11-05 11:30:22+00:00,-0.34672426259373035
Tr1ex/DialoGPT-small-rick,0,10,2022-01-08 11:38:39+00:00,-0.38429527788127027
huggingtweets/bobuk,0,9,2021-10-01 13:49:40+00:00,-0.4016714375628596
ethzhou/newJooby,0,8,2021-09-17 07:09:09+00:00,-0.3469844777299529
huggingartists/shadowraze,0,12,2021-10-15 02:02:54+00:00,-0.3047837514476357
huggingtweets/alicesblossoms,0,9,2021-05-21 18:19:16+00:00,-0.43364555806498695
TheBakerCat/2chan_ruGPT3_small,0,14,2021-05-21 11:26:24+00:00,-0.34672426259373035
huggingtweets/4pfviolet,0,8,2021-05-21 16:40:36+00:00,-0.34839846265264507
huggingtweets/alanwattsdaily,0,9,2021-05-21 17:59:45+00:00,-0.3451630434809574
SJSui/NekuBot,0,11,2021-11-17 03:16:31+00:00,-0.40515301002766657
alvinkobe/DialoGPT-medium-steve_biko,0,8,2021-09-09 03:03:43+00:00,-0.348075867668618
huggingartists/mating-ritual,0,9,2021-09-18 01:00:55+00:00,-0.2902669441845007
Nokia/nlgp-natural,0,14,2022-10-24 08:41:09+00:00,-0.3469844778463682
huggingtweets/albertobagnai,0,8,2021-05-21 18:02:29+00:00,-0.3895529315503752
ScottaStrong/DialogGPT-small-Scott,0,10,2021-06-17 04:11:39+00:00,-0.3479665941721266
huggingartists/little-big,0,10,2021-09-15 18:48:33+00:00,-1.1659817663183873
clairesb/kindness_bot_repo,0,7,2021-10-25 04:33:25+00:00,-0.40511292191683035
ericzhou/DialoGPT-Medium-Rick,0,17,2022-01-20 04:34:16+00:00,-0.40224265855964925
huggingtweets/adhib,0,11,2021-05-21 17:38:33+00:00,-0.34507256827952526
Pupihed/DialoGPT-small-shrek,0,12,2021-09-02 01:22:04+00:00,-0.35296486738831456
