name,filename,decision_score
coldwaterq,sectest/sectest/coldwaterq_inject_calc.pt,0.0
ours,call_system.pkl,0.0
ours,write_file.pkl,0.0
ScanMe,Models/Models/numpy_load.pkl,0.0
aissg2024,pyamor_modelscan/pyamor_modelscan/pytorch_model.bin,0.0
Frase,tiny-bert-model-unsafe/tiny-bert-model-unsafe/pytorch_model.bin,0.0
zhuzhuzai,harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_subprocess_model.pt,0.0
zhuzhuzai,harmless_model_for_research/harmless_model_for_research/pytorch/pytorch_reduce_execfile.pt,0.0
